,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20,Spectrum_21,Spectrum_22,Spectrum_23,Spectrum_24
Continuum_1,0.007,0.009,0.012,0.019,0.028,0.052,0.066,0.079,0.115,0.151,0.147,0.125,0.105,0.085,0.063,0.047,0.032,0.017,0.015,0.013,0.013,0.017,0.019,0.013
Continuum_2,0.010,0.012,0.015,0.020,0.027,0.044,0.063,0.075,0.099,0.137,0.145,0.119,0.107,0.084,0.066,0.048,0.036,0.022,0.018,0.013,0.012,0.015,0.018,0.015
Continuum_3,0.009,0.011,0.014,0.018,0.024,0.037,0.058,0.069,0.087,0.121,0.137,0.115,0.105,0.082,0.064,0.047,0.036,0.022,0.018,0.011,0.011,0.013,0.016,0.014
