,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,0.475,0.009,0.019
Spettro_5,2.402,0.050,0.021
Spettro_6,11.556,0.343,0.030
Spettro_7,21.350,0.344,0.016
Spettro_8,7.650,0.130,0.017
Spettro_9,10.704,0.347,0.032
Spettro_10,6.148,0.151,0.025
Spettro_11,2.309,0.104,0.045
Spettro_12,6.660,0.210,0.032
Spettro_13,6.376,0.177,0.028
Spettro_14,6.195,0.112,0.018
Spettro_15,4.915,0.096,0.019
Spettro_16,8.898,0.113,0.013
Spettro_17,4.960,0.087,0.018
Spettro_18,4.905,0.085,0.017
Spettro_19,2.034,0.051,0.025
Spettro_20,2.392,0.039,0.016
Spettro_21,0.355,0.008,0.023
Spettro_22,1.298,0.021,0.016
Spettro_23,1.873,0.019,0.010
Spettro_24,0.957,0.016,0.017
