,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,11.476,0.121,0.011
Spettro_5,37.012,0.464,0.013
Spettro_6,107.605,2.017,0.019
Spettro_7,441.922,7.112,0.016
Spettro_8,167.522,2.026,0.012
Spettro_9,223.404,3.249,0.015
Spettro_10,274.575,6.328,0.023
Spettro_11,62.516,2.215,0.035
Spettro_12,179.325,3.307,0.018
Spettro_13,330.815,6.628,0.020
Spettro_14,186.619,3.851,0.021
Spettro_15,130.015,1.781,0.014
Spettro_16,103.943,1.602,0.015
Spettro_17,134.454,1.487,0.011
Spettro_18,29.235,0.564,0.019
Spettro_19,20.917,0.293,0.014
Spettro_20,65.382,0.547,0.008
Spettro_21,35.695,0.437,0.012
Spettro_22,10.060,0.146,0.015
Spettro_23,14.692,0.183,0.012
Spettro_24,20.988,0.227,0.011
