,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,2.759,0.054,0.019
Spettro_5,11.076,0.229,0.021
Spettro_6,35.567,1.055,0.030
Spettro_7,74.558,1.201,0.016
Spettro_8,17.158,0.291,0.017
Spettro_9,28.709,0.930,0.032
Spettro_10,20.249,0.497,0.025
Spettro_11,7.039,0.316,0.045
Spettro_12,20.160,0.637,0.032
Spettro_13,22.760,0.632,0.028
Spettro_14,22.102,0.400,0.018
Spettro_15,12.965,0.253,0.019
Spettro_16,30.053,0.383,0.013
Spettro_17,13.690,0.240,0.018
Spettro_18,7.212,0.125,0.017
Spettro_19,5.194,0.130,0.025
Spettro_20,10.646,0.173,0.016
Spettro_21,2.490,0.058,0.023
Spettro_22,3.868,0.061,0.016
Spettro_23,4.703,0.048,0.010
Spettro_24,3.075,0.051,0.017
