,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,4.518,0.067,0.015
Spettro_5,6.879,0.109,0.016
Spettro_6,16.266,0.315,0.019
Spettro_7,36.509,0.939,0.026
Spettro_8,16.794,0.394,0.023
Spettro_9,27.398,0.588,0.021
Spettro_10,52.367,1.199,0.023
Spettro_11,26.293,0.650,0.025
Spettro_12,42.831,0.756,0.018
Spettro_13,52.161,1.300,0.025
Spettro_14,45.426,0.905,0.020
Spettro_15,21.677,0.481,0.022
Spettro_16,18.872,0.401,0.021
Spettro_17,22.606,0.350,0.015
Spettro_18,12.748,0.168,0.013
Spettro_19,7.310,0.121,0.016
Spettro_20,6.129,0.123,0.020
Spettro_21,7.891,0.089,0.011
Spettro_22,5.192,0.080,0.015
Spettro_23,6.452,0.079,0.012
Spettro_24,4.649,0.073,0.016
