,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.009,0.010,0.015,0.014,0.011
Continuum_2,0.006,0.006,0.011,0.011,0.010
Continuum_3,0.010,0.005,0.009,0.009,0.008
