,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.041,0.056,0.193,0.206,0.139
Continuum_2,0.038,0.045,0.156,0.189,0.132
Continuum_3,0.031,0.034,0.120,0.169,0.121
