Name,Flux,Error_flux
Hbeta,0.24427919643871115,0.0203581453472022
Halpha,1.1134800049637206,0.03972854992104867
[SII]6716,0.36691585449379255,0.01054789462427656
[SII]6731,0.2590100320936817,0.014236778968917618
HeII4687,0.010309047269765085,0.0037130891342566606
HeI5876,0.01565916702787492,0.030598481901457416
[OIII]4959,0.06999830057733789,0.01993706908759484
[OIII]5007,0.20999490173201366,0.01993706908759484
[OI]6300,0.06461699605424526,0.019619454743764385
[OI]6364,0.02153899868474842,0.019619454743764385
[NII]6548,0.059885956862743416,0.028741177086383355
[NII]6583,0.17965787058823024,0.028741177086383355
