,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,4.922,6.182,11.978,11.812
Continuum_2,6.903,8.512,13.613,12.969
Continuum_3,4.738,5.873,9.928,13.977
