L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
6.42e+38,9.79e+37,6.97e+39,3.64e+39,1.07e+41,5.57e+40
2.07e+38,3.44e+37,2.2e+39,1.28e+39,nan,nan
5.29e+37,1.49e+37,5.47e+38,3.81e+38,nan,nan
3.22e+39,6.18e+38,3.62e+40,1.66e+40,5.55e+41,2.54e+41
1.71e+39,3.8e+38,1.9e+40,9.5e+39,nan,nan
