L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
4.7e+33,7.13e+33,4.03e+34,7.83e+34,nan,nan
4.52e+36,6.3e+36,4.45e+37,7.2e+37,nan,nan
