,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.044,0.047,0.067,0.045
Continuum_2,0.031,0.030,0.042,0.029
Continuum_3,0.024,0.025,0.031,0.019
