Name,Flux,Error flux
Hgamma,1.6380060567823977,0.026307790201850586
Hbeta,4.17194753639617,0.06262632505306855
Halpha,18.526753882722236,0.08835379333395244
[SII]6731_d1,0.6445332687741311,0.03701284692258992
[SII]6731_d2,3.961497332810518,0.04283859456858076
HeII4687,0.03322407543310637,0.004929417263104791
HeI5876,0.5650757735572851,0.005630429020351648
[OIII]5007_d,4.362891047473157,0.040119715405780965
[OI]6300_d,0.43049575717813693,0.004973548645398182
[NII]6583_d,6.981534554409362,0.026751222061051686
