,SNR,Signal,Noise
Spettro_1,4.672,0.085,0.018
Spettro_2,12.942,0.184,0.014
Spettro_3,21.803,0.364,0.017
Spettro_4,53.672,0.832,0.016
Spettro_5,27.856,0.757,0.027
Spettro_6,64.653,1.355,0.021
Spettro_7,202.716,4.612,0.023
Spettro_8,83.302,1.607,0.019
Spettro_9,30.509,0.699,0.023
Spettro_10,29.584,0.624,0.021
Spettro_11,12.390,0.295,0.024
Spettro_12,11.353,0.287,0.025
Spettro_13,9.869,0.292,0.030
Spettro_14,39.406,0.683,0.017
Spettro_15,28.787,0.781,0.027
Spettro_16,8.151,0.164,0.020
Spettro_17,7.132,0.141,0.020
Spettro_18,9.600,0.167,0.017
Spettro_19,5.088,0.117,0.023
Spettro_20,3.043,0.058,0.019
