,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,1.753,2.276,2.929,5.130,6.902,7.973,11.575,9.374,9.495,10.385,12.470,14.486,16.019,12.314,9.837,8.099,6.471,5.304,5.304,4.732
Continuum_2,2.709,3.075,4.146,6.861,8.288,10.136,12.962,10.716,10.462,11.863,14.184,16.082,16.606,14.319,12.990,10.192,8.391,6.326,6.284,6.062
Continuum_3,2.358,2.463,3.237,5.297,7.125,8.600,9.397,8.867,10.802,12.927,14.432,15.134,19.242,14.021,13.333,10.903,7.804,5.869,6.745,5.515
