,SNR,Signal,Noise
Spettro_1,2.894,0.090,0.031
Spettro_2,3.486,0.079,0.023
Spettro_3,16.233,0.590,0.036
Spettro_4,65.198,1.380,0.021
Spettro_5,45.324,1.552,0.034
Spettro_6,97.168,2.558,0.026
Spettro_7,319.641,16.496,0.052
Spettro_8,132.191,5.681,0.043
Spettro_9,35.657,1.636,0.046
Spettro_10,15.807,0.488,0.031
Spettro_11,-2.531,-0.118,0.046
Spettro_12,-5.691,-0.299,0.053
Spettro_13,-7.778,-0.355,0.046
Spettro_14,10.217,0.344,0.034
Spettro_15,29.811,1.006,0.034
Spettro_16,0.862,0.033,0.038
Spettro_17,-1.855,-0.066,0.036
Spettro_18,-1.172,-0.032,0.027
Spettro_19,1.294,0.031,0.024
Spettro_20,1.542,0.048,0.031
