,SNR,Signal,Noise
Spettro_1,4.303,0.078,0.018
Spettro_2,12.873,0.183,0.014
Spettro_3,16.306,0.272,0.017
Spettro_4,36.380,0.564,0.016
Spettro_5,19.052,0.518,0.027
Spettro_6,48.292,1.012,0.021
Spettro_7,149.139,3.393,0.023
Spettro_8,58.068,1.120,0.019
Spettro_9,23.230,0.532,0.023
Spettro_10,19.264,0.406,0.021
Spettro_11,7.113,0.169,0.024
Spettro_12,7.790,0.197,0.025
Spettro_13,5.887,0.174,0.030
Spettro_14,30.531,0.529,0.017
Spettro_15,21.129,0.573,0.027
Spettro_16,5.549,0.112,0.020
Spettro_17,2.750,0.054,0.020
Spettro_18,4.714,0.082,0.017
Spettro_19,3.895,0.089,0.023
Spettro_20,2.438,0.046,0.019
