,SNR,Signal,Noise
Spettro_1,3.289,0.077,0.023
Spettro_2,3.058,0.121,0.040
Spettro_3,21.051,0.645,0.031
Spettro_4,44.540,1.621,0.036
Spettro_5,67.254,1.971,0.029
Spettro_6,77.724,3.014,0.039
Spettro_7,374.301,21.414,0.057
Spettro_8,179.236,7.537,0.042
Spettro_9,30.684,1.317,0.043
Spettro_10,10.289,0.398,0.039
Spettro_11,3.656,0.111,0.030
Spettro_12,1.629,0.066,0.041
Spettro_13,4.834,0.228,0.047
Spettro_14,9.121,0.321,0.035
Spettro_15,10.615,0.442,0.042
Spettro_16,1.500,0.058,0.038
Spettro_17,2.931,0.108,0.037
Spettro_18,1.145,0.037,0.032
Spettro_19,3.378,0.072,0.021
Spettro_20,0.040,0.001,0.032
