,SNR,Signal,Noise
Spettro_1,10.266,0.243,0.024
Spettro_2,27.698,0.657,0.024
Spettro_3,74.180,2.183,0.029
Spettro_4,156.456,4.282,0.027
Spettro_5,153.357,4.190,0.027
Spettro_6,318.751,9.487,0.030
Spettro_7,1488.087,62.853,0.042
Spettro_8,727.284,15.789,0.022
Spettro_9,158.752,3.881,0.024
Spettro_10,74.356,2.130,0.029
Spettro_11,14.708,0.441,0.030
Spettro_12,14.326,0.587,0.041
Spettro_13,12.749,0.668,0.052
Spettro_14,114.893,3.555,0.031
Spettro_15,162.918,4.707,0.029
Spettro_16,24.649,0.663,0.027
Spettro_17,8.921,0.264,0.030
Spettro_18,12.081,0.320,0.026
Spettro_19,34.377,0.470,0.014
Spettro_20,13.914,0.270,0.019
