,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.368,0.292,0.338,0.884,0.465
Continuum_2,0.258,0.238,0.247,0.573,0.230
Continuum_3,0.214,0.204,0.202,0.435,0.153
