,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0628,0.0300,0.0881,0.0316,0.0114
r_e error,3.6017,2.2081,6.0880,1.0680,15.0357
n error,2.5060,0.9612,0.5114,0.7487,0.1763
x_0 error,0.1470,2.5427,1.2244,0.8281,4.2151
