,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,2.3911,0.3956,0.1838,0.3450,0.1638
r_e error,0.5379,2.6416,1.2078,6.1063,15.6721
n error,1.5056,1.0137,0.2446,0.2687,0.1879
x_0 error,0.1281,1.1513,1.4403,1.6678,1.4669
