,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0549,0.1279,0.0308,133344.1685,0.0307
r_e error,45.4473,2.1463,1.6551,1810.6021,214.2008
n error,10.3951,5.4077,0.4342,473226.7722,0.7307
x_0 error,0.0076,0.7529,2.0396,160.7610,9.9713
