,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0371,0.0245,0.0442,0.0554,0.1625
r_e error,49.0536,24.6949,12.3288,5.2624,1174.6116
n error,7.3799,1.3457,1.3556,2.2525,3.9532
x_0 error,0.0025,4.9574,1.2394,0.4217,38.4523
