,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,2.0669,0.3404,0.0347,0.1277,0.0509
r_e,0.0012,0.0097,4.2827,3.1092,50.0000
n,5.1429,4.2113,1.3342,0.6923,0.3507
x_0,38.0994,62.6118,69.3421,74.7707,60.0000
