Name,Flux,Error_flux
Hbeta,0.16191973435800927,0.02039319364768648
Halpha,0.6661434031595443,0.021445547739807964
[SII]6716,0.13212950068879964,0.014073017684006225
[SII]6731,5.882420275363911,0.5453254684487596
HeII4687,0.002843191011747893,0.00398831551435752
HeI5876,0.005907907676390209,0.0025229670416410453
[OIII]4959,0.031170590772353745,0.016739296570791803
[OIII]5007,0.09351177231706123,0.016739296570791803
[OI]6300,0.04412893048849697,0.007439063983442015
[OI]6364,0.014709643496165657,0.007439063983442015
[NII]6548,0.016431899650422403,0.011035033010788618
[NII]6583,0.04929569895126721,0.011035033010788618
