L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.14e+39,2.89e+38,1.26e+40,6.71e+39,nan,nan
2.29e+38,6.04e+37,2.44e+39,1.5e+39,nan,nan
3.19e+38,8.19e+37,3.42e+39,2.04e+39,5.24e+40,3.12e+40
3.08e+38,5.87e+37,3.3e+39,1.88e+39,nan,nan
1.83e+38,5.28e+37,1.94e+39,1.24e+39,nan,nan
