,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,17.256,15.215,13.974,22.034,18.775
Continuum_2,20.337,18.709,17.877,24.374,21.895
Continuum_3,18.012,17.320,18.067,16.260,18.632
