,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.438,0.321,0.363,0.724,0.500
Continuum_2,0.370,0.306,0.362,0.605,0.419
Continuum_3,0.325,0.292,0.359,0.534,0.359
