,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.6837,5.0102,1.7455,5.1743,1.3694,0.0998
r_e,8.7552,2.7000,17.2549,5.8871,3.8970,4.7735
n,1.8197,2.6618,1.6120,0.3745,1.7890,2.2064
x_0,16.7160,41.6037,65.9679,62.5966,72.5528,91.2237
