,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.9192,2.8773,0.7500,1.1886,0.5896,0.0845
r_e,8.2462,4.1472,27.7329,10.2070,0.9610,4.4872
n,2.3904,3.4505,1.9556,0.8136,1.7918,2.6562
x_0,16.2450,41.0862,65.9643,61.2128,72.6510,91.8886
