,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.5351,5.4982,0.9890,4.3133,0.2710,0.1000
r_e,10.0000,2.5762,25.2459,6.8223,4.8804,5.0000
n,1.7696,2.7101,1.8861,0.3210,2.5925,1.9252
x_0,16.6857,41.6235,65.9756,63.7285,73.0005,91.4734
