,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,2.1936,2.4629,6.0593,9.4836,4.1243,2.2760
r_e,8.1370,4.8682,10.0343,5.4606,4.3959,3.3538
n,2.3920,3.2337,1.1339,0.3762,1.8662,0.7774
x_0,16.7786,41.6152,65.0000,62.4411,72.6315,91.2238
