,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.6142,6.7024,0.3555,3.6870,0.3188,0.0818
r_e,9.4997,2.4111,42.2887,6.3394,4.4273,3.8771
n,2.2283,2.7123,2.3183,0.5473,3.0619,2.8029
x_0,16.0400,40.9784,65.9505,61.9618,72.1752,90.4518
