,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,1.207,1.573,2.606,3.377,5.487,10.015,9.373,7.899,11.792,23.942,14.128,11.327,2.636,7.956,7.928,9.471,16.309,2.422,1.027,0.528,0.037,0.047,0.074,0.105,0.183,0.392,0.679,4.132,0.754,1.719,0.753,0.420,0.295,0.299,0.275,0.415,0.986,0.067,0.026,0.014,0.030,0.030,0.028,0.031,0.033,0.039,0.072,0.523,0.064,0.072,0.053,0.037,0.112,0.038,0.035,0.044,0.060,0.028,0.025,0.026
Continuum_2,4.795,5.304,7.373,8.692,10.226,12.746,13.479,7.709,15.111,21.954,18.940,16.469,11.916,10.843,11.988,11.326,15.661,5.177,3.704,3.714,0.095,0.102,0.135,0.161,0.220,0.347,0.457,1.435,0.581,1.423,0.686,0.427,0.295,0.284,0.283,0.317,0.794,0.105,0.083,0.064,0.020,0.019,0.018,0.019,0.022,0.027,0.034,0.186,0.038,0.065,0.036,0.026,0.025,0.026,0.024,0.028,0.051,0.020,0.022,0.017
Continuum_3,5.210,5.306,7.729,7.769,9.802,13.273,12.079,9.358,13.124,17.281,16.385,14.722,11.520,11.107,11.458,10.170,12.912,5.443,4.887,3.694,0.090,0.097,0.128,0.153,0.205,0.298,0.368,0.863,0.458,1.193,0.581,0.383,0.264,0.241,0.242,0.243,0.589,0.095,0.081,0.060,0.017,0.018,0.017,0.020,0.021,0.022,0.030,0.092,0.035,0.069,0.035,0.026,0.023,0.022,0.021,0.024,0.046,0.017,0.017,0.016
