,SNR,Signal,Noise
Spettro_1,20.017,0.487,0.024
Spettro_2,5.085,0.211,0.041
Spettro_3,13.901,0.530,0.038
Spettro_4,19.187,1.038,0.054
Spettro_5,35.120,2.227,0.063
Spettro_6,63.266,4.071,0.064
Spettro_7,116.044,9.699,0.084
Spettro_8,64.602,32.709,0.506
Spettro_9,109.383,10.548,0.096
Spettro_10,85.672,7.334,0.086
Spettro_11,57.438,3.594,0.063
Spettro_12,35.484,2.159,0.061
Spettro_13,36.730,2.124,0.058
Spettro_14,28.157,1.995,0.071
Spettro_15,37.991,1.879,0.049
Spettro_16,85.992,3.986,0.046
Spettro_17,66.741,3.590,0.054
Spettro_18,28.848,1.639,0.057
Spettro_19,11.665,0.695,0.060
Spettro_20,5.486,0.200,0.036
