,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20
Continuum_1,0.037,0.047,0.074,0.105,0.183,0.392,0.679,4.132,0.754,1.719,0.753,0.420,0.295,0.299,0.275,0.415,0.986,0.067,0.026,0.014
Continuum_2,0.095,0.102,0.135,0.161,0.220,0.347,0.457,1.435,0.581,1.423,0.686,0.427,0.295,0.284,0.283,0.317,0.794,0.105,0.083,0.064
Continuum_3,0.090,0.097,0.128,0.153,0.205,0.298,0.368,0.863,0.458,1.193,0.581,0.383,0.264,0.241,0.242,0.243,0.589,0.095,0.081,0.060
