,SNR,Signal,Noise
Spettro_1,28.543,1.063,0.037
Spettro_2,11.179,0.418,0.037
Spettro_3,29.326,1.236,0.042
Spettro_4,45.744,2.530,0.055
Spettro_5,103.453,5.711,0.055
Spettro_6,193.957,9.796,0.051
Spettro_7,357.934,35.733,0.100
Spettro_8,784.291,131.195,0.167
Spettro_9,561.227,39.673,0.071
Spettro_10,348.563,21.068,0.060
Spettro_11,101.961,8.454,0.083
Spettro_12,59.432,4.491,0.076
Spettro_13,118.457,4.921,0.042
Spettro_14,103.494,4.757,0.046
Spettro_15,118.608,4.795,0.040
Spettro_16,467.509,11.562,0.025
Spettro_17,199.274,13.588,0.068
Spettro_18,98.713,4.300,0.044
Spettro_19,37.843,1.604,0.042
Spettro_20,10.476,0.522,0.050
