,SNR,Signal,Noise
Spettro_1,-0.077,-0.007,0.096
Spettro_2,1.013,0.062,0.061
Spettro_3,1.511,0.109,0.072
Spettro_4,6.259,0.341,0.055
Spettro_5,5.627,0.460,0.082
Spettro_6,9.239,0.663,0.072
Spettro_7,22.804,2.842,0.125
Spettro_8,38.734,17.486,0.451
Spettro_9,18.780,2.684,0.143
Spettro_10,6.783,1.737,0.256
Spettro_11,4.646,0.611,0.132
Spettro_12,4.102,0.353,0.086
Spettro_13,7.558,0.400,0.053
Spettro_14,3.079,0.219,0.071
Spettro_15,4.355,0.331,0.076
Spettro_16,6.479,0.735,0.113
Spettro_17,6.854,0.843,0.123
Spettro_18,3.594,0.227,0.063
Spettro_19,1.569,0.093,0.060
Spettro_20,-0.358,-0.022,0.061
