,SNR,Signal,Noise
Spettro_1,1.990,0.174,0.088
Spettro_2,3.262,0.217,0.067
Spettro_3,2.315,0.166,0.072
Spettro_4,11.695,0.638,0.055
Spettro_5,17.426,1.300,0.075
Spettro_6,34.042,2.444,0.072
Spettro_7,76.211,8.672,0.114
Spettro_8,110.939,54.862,0.495
Spettro_9,64.866,9.271,0.143
Spettro_10,17.530,4.919,0.281
Spettro_11,16.481,2.376,0.144
Spettro_12,11.048,1.042,0.094
Spettro_13,16.456,0.954,0.058
Spettro_14,11.945,0.932,0.078
Spettro_15,11.668,0.972,0.083
Spettro_16,19.217,2.387,0.124
Spettro_17,20.062,2.702,0.135
Spettro_18,9.441,0.652,0.069
Spettro_19,4.775,0.311,0.065
Spettro_20,2.245,0.149,0.067
