,Component 1,Component 2,Component 3,Component 4
I_e error,0.6025,0.4092,0.0297,0.1835
r_e error,0.8395,1.7353,0.8089,8.4047
n error,0.9930,1.0056,0.0559,3.6697
x_0 error,0.4498,2.6195,0.5907,0.4377
