,Component 1,Component 2,Component 3,Component 4
I_e error,7.0200,3.1036,2.4480,1.6917
r_e error,103.4031,134.7729,79.2187,26.6208
n error,5.9284,2.3564,1.6169,1.1886
x_0 error,0.5265,1.0111,0.6269,0.7371
