,Component 1,Component 2,Component 3,Component 4
I_e error,0.2173,0.0414,0.0613,0.0559
r_e error,0.3215,80.6294,1.2801,1.6809
n error,0.3476,1.7893,0.0798,0.5222
x_0 error,0.0725,0.1006,1.2308,0.2760
