,Component 1,Component 2,Component 3,Component 4
I_e,0.2268,0.1445,0.3687,0.0883
r_e,1.4361,15.4264,9.5110,9.0540
n,2.0061,1.0366,0.1869,0.9904
x_0,31.7622,35.3083,42.1789,61.2037
