,Component 1,Component 2,Component 3,Component 4
I_e error,0.2092,0.4575,0.0225,0.0566
r_e error,0.1743,1.0616,0.7284,2.0989
n error,0.1192,0.4658,0.0749,0.4812
x_0 error,0.0402,0.0953,0.5452,0.2249
