,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,7.615,9.384,10.048,13.545
Continuum_2,8.428,9.232,18.287,14.688
Continuum_3,7.601,9.536,17.762,13.550
