,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.398,56.417,17.125,0.750,0.411
Green,0.000,32.529,7.438,0.000,0.000
Purple,0.177,6.363,68.731,0.110,0.033
Orange,0.417,4.640,6.652,98.817,81.863
Chocolate,0.008,0.050,0.054,0.323,17.693
