,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.574,33.098,17.703,0.274,0.287
Green,0.000,54.761,5.413,0.000,0.000
Purple,0.009,6.696,63.025,0.001,0.000
Orange,0.414,5.409,13.762,98.150,56.859
Chocolate,0.002,0.036,0.098,1.576,42.854
