,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.493,28.573,9.005,0.352,0.394
Green,0.000,52.347,0.091,0.000,0.000
Magenta,0.157,13.754,84.861,0.040,0.027
Orange,0.344,5.277,5.998,99.259,53.372
Chocolate,0.006,0.050,0.045,0.349,46.207
