,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.871,20.482,12.928,0.073,0.095
Green,0.000,66.017,2.028,0.000,0.000
Magenta,0.000,9.006,71.358,0.000,0.000
Orange,0.129,4.494,13.686,99.874,61.924
Chocolate,0.000,0.000,0.000,0.053,37.981
