,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.214,32.371,13.961,0.424,0.445
Green,0.000,34.137,3.854,0.000,0.000
Magenta,0.263,27.586,72.792,0.051,0.032
Orange,0.514,5.852,9.326,98.971,65.837
Chocolate,0.009,0.054,0.067,0.554,33.686
