,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.888,39.259,21.693,0.618,0.497
Green,0.001,42.925,14.531,0.000,0.000
Purple,0.000,7.592,44.226,0.000,0.000
Orange,2.111,10.224,19.550,96.252,74.019
Chocolate,0.000,0.000,0.000,3.129,25.484
