,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.377,56.112,16.318,0.613,0.383
Green,0.000,32.209,13.196,0.000,0.000
Purple,0.187,7.187,64.125,0.089,0.032
Orange,0.428,4.445,6.310,98.923,81.614
Chocolate,0.008,0.047,0.051,0.375,17.970
