,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.828,54.874,16.259,0.133,0.085
Green,0.000,38.230,33.573,0.000,0.000
Purple,0.000,2.704,41.464,0.000,0.000
Orange,0.172,4.192,8.704,99.788,85.799
Chocolate,0.000,0.000,0.000,0.079,14.117
