,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.491,40.219,25.704,1.515,1.719
Green,0.005,42.157,29.361,0.000,0.000
Purple,0.052,8.796,29.022,0.258,0.008
Orange,2.452,8.828,15.913,90.343,59.715
Chocolate,0.000,0.000,0.000,7.884,38.558
