,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.857,22.319,13.425,0.078,0.097
Green,0.000,61.284,6.773,0.000,0.000
Magenta,0.000,11.554,65.670,0.000,0.000
Orange,0.143,4.843,14.133,99.797,65.138
Chocolate,0.000,0.000,0.000,0.126,34.765
