,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.604,31.247,17.057,0.259,0.271
Green,0.000,57.965,2.862,0.000,0.000
Purple,0.008,5.623,66.748,0.000,0.000
Orange,0.386,5.132,13.239,98.332,47.476
Chocolate,0.002,0.034,0.094,1.408,52.253
