,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.964,38.701,21.660,0.595,0.504
Green,0.000,44.339,13.257,0.000,0.000
Purple,0.000,6.842,45.523,0.000,0.000
Orange,2.036,10.118,19.559,96.810,72.462
Chocolate,0.000,0.000,0.000,2.595,27.035
