,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.400,57.374,17.828,0.772,0.451
Green,0.000,31.604,4.599,0.000,0.000
Purple,0.175,6.192,70.582,0.112,0.034
Orange,0.417,4.779,6.934,98.792,74.859
Chocolate,0.008,0.052,0.057,0.324,24.655
