,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.596,39.618,25.566,1.453,1.884
Green,0.001,43.132,29.421,0.000,0.000
Purple,0.043,8.527,29.181,0.227,0.004
Orange,2.360,8.723,15.832,91.255,60.255
Chocolate,0.000,0.000,0.000,7.065,37.858
