,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.834,57.584,16.099,0.150,0.089
Green,0.000,36.752,27.444,0.000,0.000
Purple,0.000,0.990,47.696,0.000,0.000
Orange,0.166,4.675,8.760,99.847,83.720
Chocolate,0.000,0.000,0.000,0.003,16.191
