,Component 1,Component 2,Component 3
I_e error,5.1417,6774.9109,3.3505
r_e error,15.4603,1242303.9891,8.3582
n error,1.3627,1704.2589,0.9040
x_0 error,0.0022,69937.4602,0.1068
