,Peak 1,Peak 2,Peak 3,Peak 4
Blue,28.383,3.762,0.000,0.000
Green,0.928,12.098,0.000,0.000
Purple,55.225,67.715,93.729,8.336
Orange,15.464,16.425,6.271,91.664
