,Peak 1,Peak 2,Peak 3,Peak 4
Blue,64.875,7.685,0.000,0.000
Green,0.121,32.765,0.000,0.000
Purple,29.962,54.043,99.638,2.682
Orange,5.042,5.508,0.362,97.318
